slug,sheet_name,country,variant,rows,source
albania,Albania,Albania,Whole,609,dpshtrr.al / @robbieandrew.bsky.social
australia,Australia,Australia,Whole,436,VFACTS & Prof. Ray Willis
austria,Austria,Austria,Whole,1052,Statistik Austria
belgium,Belgium,Belgium,Whole,693,ACEA
brazil,Brazil,Brazil,Whole,1187,ANFAVEA
bulgaria,Bulgaria,Bulgaria,Whole,693,ACEA
canada,Canada,Canada,Whole,417,150.statcan.gc.ca
chile,Chile,Chile,Whole,824,ANAC
china,China,China,Whole,1170,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
croatia,Croatia,Croatia,Whole,546,ACEA
cyprus,Cyprus,Cyprus,Whole,525,ACEA
czechia,Czechia,Czechia,Whole,1149,ACEA / sda-cia.cz
denmark,Denmark,Denmark,Whole,637,statbank.dk
denmark_hdv,Denmark (HDV),Denmark,HDV,441,statbank.dk
denmark_vans,Denmark (Vans),Denmark,Vans,657,statbank.dk
estonia,Estonia,Estonia,Whole,693,ACEA
finland,Finland,Finland,Whole,884,pxdata.stat.fi
finland_private,Finland (Private),Finland,Private,883,pxdata.stat.fi
finland_industry,Finland (Industry),Finland,Industry,1029,pxdata.stat.fi
finland_hdv,Finland (HDV),Finland,HDV,1029,pxdata.stat.fi
france,France,France,Whole,765,ACEA
georgia,Georgia,Georgia,Whole,185,National Statistics Office of Georgia
germany,Germany,Germany,Whole,1017,KBA
germany_custom,Germany (Custom),Germany,Custom,912,KBA
greece,Greece,Greece,Whole,729,ACEA
hungary,Hungary,Hungary,Whole,885,ACEA
iceland,Iceland,Iceland,Whole,693,ACEA
india,India,India,Whole,1351,vahan.parivahan.gov.in
indonesia,Indonesia,Indonesia,Whole,1365,robbieandrew.github.io / gaikindo.io
ireland,Ireland,Ireland,Whole,1531,stats.simi.ie
italy,Italy,Italy,Whole,870,unrae.it
japan,Japan,Japan,Whole,909,JADA /JAMA
latvia,Latvia,Latvia,Whole,825,ACEA
lithuania,Lithuania,Lithuania,Whole,764,ACEA
luxembourg,Luxembourg,Luxembourg,Whole,1365,ACEA / lustat.statec.lu
malta,Malta,Malta,Whole,315,ACEA
netherlands,Netherlands,Netherlands,Whole,846,durzamemobiliteit.datenbank.nl
netherlands_used_imports,Netherlands (Used Imports),Netherlands,Used Imports,576,duurzamemobiliteit.databank.nl/viewer?workspace_guid=367f17d2-80c3-46fa-8737-5d0e98230fa6 (RDW)
netherlands_hdv,Netherlands (HDV),Netherlands,HDV,598,durzamemobiliteit.datenbank.nl
newzealand,New Zealand,New Zealand,Whole,1197,transport.govt.nz & Prof. Ray Willis
newzealand_hdv,NewZealand (HDV),NewZealand,HDV,828,transport.govt.nz & Prof. Ray Willis
norway,Norway,Norway,Whole,1785,ofv.no & ACEA
poland,Poland,Poland,Whole,1029,ACEA / PZPM
portugal,Portugal,Portugal,Whole,1077,ACAP
romania,Romania,Romania,Whole,749,ACEA
singapore,Singapore,Singapore,Whole,791,data.gov.s / lta.gov.sg / robbieandrew
slovakia,Slovakia,Slovakia,Whole,693,ACEA
slovenia,Slovenia,Slovenia,Whole,570,ACEA
southkorea,South Korea,South Korea,Whole,666,motir.go.kr
spain,Spain,Spain,Whole,945,ACEA / DGT / asierlizarraga
sweden,Sweden,Sweden,Whole,1701,statistikdatabasen.scb.se
switzerland,Switzerland,Switzerland,Whole,1365,pxweb.bfs.admin.ch / ACEA
switzerland_hdv,Switzerland (HDV),Switzerland,HDV,1337,pxweb.bfs.admin.ch
thailand,Thailand,Thailand,Whole,587,data.thaiauto.or.th
thailand_hdv,Thailand (HDV),Thailand,HDV,497,data.thaiauto.or.th
uk,UK,UK,Whole,908,SMMT
uruguay,Uruguay,Uruguay,Whole,265,ACAU
usa,USA,USA,Whole,1097,ANL
tuerkiye,Türkiye,Türkiye,Whole,573,data.tuik.gov.tr/
