country,variant,v1,v2,t0,data_per,model_date,source,baseline_date,ice_v1,ice_v2,ice_t0
Albania,Whole,-9.55397435003146e-08,6.79167331924396,2018,2026-03,2026-05-02,dpshtrr.al / @robbieandrew.bsky.social,,-1.90086143836881e-07,6.46015420007747,2018
Australia,Whole,-5.44404716544362e-05,3.09414352341102,2014,2026-03,2026-05-02,VFACTS & Prof. Ray Willis,,-2.96615396633843e-05,3.49338435702583,2014
Austria,Whole,-0.00010707930852624,2.91482285381795,2011,2026-03,2026-05-02,Statistik Austria,,-8.78861167363171e-05,3.14793056087587,2011
Belgium,Whole,-0.00139229540453804,2.68320088805411,2017,2026-03,2026-05-02,ACEA,,-0.0147254481650898,1.77953913381244,2017
Brazil,Whole,-3.3411384487377e-11,7.76350651976696,2011,2026-03,2026-05-02,ANFAVEA,,-8.16700067023284e-11,7.70855288685575,2011
Bulgaria,Whole,-0.00214330206360934,1.52325699331743,2017,2026-03,2026-05-02,ACEA,,-0.0026857590721468,1.51876620742209,2017
Canada,Whole,-0.00018230697868219,2.46375704185936,2010,2025-12,2026-05-02,150.statcan.gc.ca,,-0.0004596462858845,2.21180804541199,2010
Chile,Whole,-2.0793837221874e-08,5.62582232877463,2014,2026-03,2026-05-02,ANAC,,-1.48530745966381e-09,6.90051501963305,2014
China,Whole,-2.89227378302101e-06,4.23702751299872,2009,2026-03,2026-05-02,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently),,-2.41192114904579e-07,5.36238111308909,2009
Croatia,Whole,-0.0143160441268821,0.30771608908019,2018,2026-03,2026-05-02,ACEA,,-0.00943201185916655,0.940406432555071,2018
Cyprus,Whole,-0.00226483633028995,2.08095293984298,2019,2026-03,2026-05-02,ACEA,,-0.00497872972936025,1.8951397991034,2019
Czechia,Whole,-2.73402399211149e-07,4.47751837289846,2010,2026-03,2026-05-02,ACEA / sda-cia.cz,,-9.7706837609788e-07,4.21574102653527,2010
Denmark,Private,-0.00047270247482616,3.85665210590276,2017,2026-02,2026-03-15,statbank.dk,,-0.0091736549805693,2.47131353426461,2017
Denmark,Whole,-0.00118295051926453,3.1953899979879,2017,2022-12,2026-05-02,statbank.dk,,-0.0148895456912114,2.04162754510178,2017
Denmark,Industry,-0.00183057208945151,2.66841706627182,2017,2026-02,2026-03-15,statbank.dk,,-0.0254167315882075,1.5142988928964,2017
Denmark,HDV,-0.0089639372389482,2.05633079851778,2020,2026-03,2026-05-02,statbank.dk,,-0.00896393703564413,2.05633081324997,2020
Denmark,Vans,-5.45318791027261e-05,4.09422569868508,2017,2026-03,2026-05-02,statbank.dk,,-0.00014738327162278,3.66076282837411,2017
Estonia,Whole,-0.00231583357331185,1.57026549916113,2017,2026-03,2026-05-02,ACEA,,-0.00101289107364738,2.34205085973269,2017
Finland,Industry,-1.7693305844812e-05,4.11801760516217,2013,2026-03,2026-05-02,pxdata.stat.fi,,-0.00053288211918966,3.0342520658165,2013
Finland,Whole,-2.89633015452452e-05,3.90100325072219,2013,2026-03,2026-05-02,pxdata.stat.fi,,-0.00037196791690415,3.14253363518957,2013
Finland,Private,-3.86214135812588e-05,3.76449235008459,2013,2026-03,2026-05-02,pxdata.stat.fi,,-0.00031686723576214,3.16658693163219,2013
Finland,HDV,-5.85065340035661e-09,6.09008681971947,2013,2026-03,2026-05-02,pxdata.stat.fi,,-1.14961395656076e-08,5.82529822727212,2013
France,Whole,-0.00067512159581437,2.42867544613012,2014,2026-03,2026-05-02,ACEA,,-0.00183370032164633,2.18282409019474,2014
Germany,Whole,-0.00010502616466002,2.89802028147675,2011,2026-03,2026-05-02,KBA,,-0.00034612421744188,2.63724750256639,2011
Germany,Custom,-7.58458134248795e-05,3.06157562510791,2011,2025-12,2026-05-02,KBA,,-0.00022131876298761,2.85730410176689,2011
Greece,Whole,-7.39947367642185e-05,2.80627694351907,2014,2026-03,2026-05-02,ACEA,,-0.00035705137076379,2.49726314908792,2014
Hungary,Whole,-0.00013345379110021,2.57405221031192,2013,2026-03,2026-05-02,ACEA,,-0.0003173237812303,2.45915089387418,2013
Iceland,Whole,-0.0595922977455766,1.05112611124299,2017,2026-03,2026-05-02,ACEA,,-0.174715886640305,0.797905977391363,2017
India,3-Wheelers,-3.27997262612e-06,4.54430612940779,2009,2025-10,2026-01-04,analytics.parivahan.gov.in,,-3.27997256533e-06,4.54430613686312,2009
