country,variant,weight,data_per,model_date
Australia,New Cars,1191610,2026-03,2026-04-12
Austria,New Cars,296196,2026-03,2026-04-12
Belgium,New Cars,407637,2026-03,2026-04-22
Brazil,New Cars,2632558,2026-03,2026-04-17
Bulgaria,New Cars,49365,2026-03,2026-04-22
Chile,New Cars,314697,2026-03,2026-04-21
China,New Cars,22916000,2026-03,2026-04-09
Croatia,New Cars,71591,2026-03,2026-04-22
Cyprus,New Cars,13855,2026-03,2026-04-22
Czechia,New Cars,249583,2026-03,2026-04-25
Denmark,New Cars,191824,2026-03,2026-04-21
Estonia,New Cars,15184,2026-03,2026-04-26
France,New Cars,1623622,2026-03,2026-04-22
Germany,New Cars,2892424,2026-03,2026-04-07
Greece,New Cars,145815,2026-03,2026-04-23
Hungary,New Cars,132980,2026-03,2026-04-23
Iceland,New Cars,16043,2026-03,2026-04-23
Indonesia,New Cars,596959,2026-03,2026-04-28
Ireland,New Cars,126746,2026-04,2026-05-01
Italy,New Cars,1579828,2026-03,2026-05-02
Japan,New Cars,2471215,2026-03,2026-04-06
Latvia,New Cars,22777,2026-03,2026-04-26
Lithuania,New Cars,42606,2026-03,2026-04-26
Luxembourg,New Cars,47028,2026-03,2026-04-25
Malaysia,New Cars,864480,2026-03,2026-04-12
Malta,New Cars,6602,NA,NA
New Zealand,New Cars,225712,2026-03,2026-04-06
Norway,New Cars,175210,2026-03,2026-04-27
Poland,New Cars,606969,2026-03,2026-04-26
Portugal,New Cars,233394,2026-04,2026-05-01
Romania,New Cars,150386,2026-03,2026-04-28
Slovakia,New Cars,92768,2026-03,2026-04-25
Slovenia,New Cars,59079,2026-03,2026-04-25
Spain,New Cars,1169732,2026-03,2026-04-25
Switzerland,New Cars,239263,2026-03,2026-04-25
Thailand,New Cars,646255,2026-02,2026-03-27
Thailand,HDV,36550,2026-02,2026-03-27
Türkiye,New Cars,1077049,2026-03,2026-04-18
UK,New Cars,2054875,2026-03,2026-04-08
Uruguay,New Cars,49572,2026-03,2026-04-13
USA,New Cars,16004786,2026-03,2026-04-17
Canada,New Cars,234894,2025-12,2026-03-22
Sweden,New Cars,281270,2026-03,2026-04-25
Finland,New Cars,72384,2026-03,2026-04-12
Singapore,New Cars,55086,2026-03,2026-04-26
Finland,HDV,2957,2026-03,2026-04-12
Netherlands,New Cars,370395,2026-03,2026-04-25
Netherlands,HDV,10660,2026-02,2026-03-27
South Korea,New Cars,1700719,2026-03,2026-04-28
India,4-Wheelers,4145538,2026-01,2026-03-15
India,3-Wheelers,1250452,2025-10,2026-01-04
India,2-Wheelers,20280166,2025-10,2026-01-04
Denmark,HDV,2244,2026-03,2026-04-18
Albania,New Cars,81687,2026-03,2026-04-28
Finland,Industry,34516,2026-03,2026-04-12
Finland,Private,37868,2026-03,2026-04-12
Germany,Custom,2857591,2025-12,2026-01-09
Netherlands,Used Imports,296820,2025-12,2026-01-25
Denmark,Industry,74383,2026-03,2026-04-18
Denmark,Private,117436,2026-03,2026-04-18
Denmark,Vans,25530,2025-12,2026-01-14
Switzerland,HDV,34165,2025-11,2026-01-14
Georgia,New Cars,166006,2026-03,2026-04-26
India,New Cars,5270406,2026-03,2026-03-29
